set	assembly	species	clade	taxon_group	ploidy_n	haplotype	in_primary_matrix	asm_version	annot_version	genome_fasta_gz_bytes	genome_fasta_gz_bytes_note	has_reference_proteome	has_precomputed_interproscan	has_maizegdb_helixer_gff	url	genome_fasta	protein_fasta	gff3	interproscan_tsv	helixer_gff	entap	genome_fasta_url	protein_fasta_url	gff3_url	interproscan_tsv_url	helixer_gff_url	entap_url	n_files	notes
HiLo	Zm-CML457-REFERENCE-HiLo-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00106aa.1	652000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/HiLo/Zm-CML457-REFERENCE-HiLo-1.0/	Zm-CML457-REFERENCE-HiLo-1.0.fa.gz	Zm-CML457-REFERENCE-HiLo-1.0_Zm00106aa.1.protein.fa.gz	Zm-CML457-REFERENCE-HiLo-1.0_Zm00106aa.1.gff3.gz				https://download.maizegdb.org/Genomes/HiLo/Zm-CML457-REFERENCE-HiLo-1.0/Zm-CML457-REFERENCE-HiLo-1.0.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-CML457-REFERENCE-HiLo-1.0/Zm-CML457-REFERENCE-HiLo-1.0_Zm00106aa.1.protein.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-CML457-REFERENCE-HiLo-1.0/Zm-CML457-REFERENCE-HiLo-1.0_Zm00106aa.1.gff3.gz				17	
HiLo	Zm-CML459-REFERENCE-HiLo-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00107aa.1	624000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/HiLo/Zm-CML459-REFERENCE-HiLo-1.0/	Zm-CML459-REFERENCE-HiLo-1.0.fa.gz	Zm-CML459-REFERENCE-HiLo-1.0_Zm00107aa.1.protein.fa.gz	Zm-CML459-REFERENCE-HiLo-1.0_Zm00107aa.1.gff3.gz				https://download.maizegdb.org/Genomes/HiLo/Zm-CML459-REFERENCE-HiLo-1.0/Zm-CML459-REFERENCE-HiLo-1.0.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-CML459-REFERENCE-HiLo-1.0/Zm-CML459-REFERENCE-HiLo-1.0_Zm00107aa.1.protein.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-CML459-REFERENCE-HiLo-1.0/Zm-CML459-REFERENCE-HiLo-1.0_Zm00107aa.1.gff3.gz				17	
HiLo	Zm-CML530-REFERENCE-HiLo-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00108aa.1	586000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/HiLo/Zm-CML530-REFERENCE-HiLo-1.0/	Zm-CML530-REFERENCE-HiLo-1.0.fa.gz	Zm-CML530-REFERENCE-HiLo-1.0_Zm00108aa.1.protein.fa.gz	Zm-CML530-REFERENCE-HiLo-1.0_Zm00108aa.1.gff3.gz				https://download.maizegdb.org/Genomes/HiLo/Zm-CML530-REFERENCE-HiLo-1.0/Zm-CML530-REFERENCE-HiLo-1.0.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-CML530-REFERENCE-HiLo-1.0/Zm-CML530-REFERENCE-HiLo-1.0_Zm00108aa.1.protein.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-CML530-REFERENCE-HiLo-1.0/Zm-CML530-REFERENCE-HiLo-1.0_Zm00108aa.1.gff3.gz				15	
HiLo	Zm-PDJ-REFERENCE-HiLo-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00112aa.1	648000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/HiLo/Zm-PDJ-REFERENCE-HiLo-1.0/	Zm-PDJ-REFERENCE-HiLo-1.0.fa.gz	Zm-PDJ-REFERENCE-HiLo-1.0_Zm00112aa.1.protein.fa.gz	Zm-PDJ-REFERENCE-HiLo-1.0_Zm00112aa.1.gff3.gz				https://download.maizegdb.org/Genomes/HiLo/Zm-PDJ-REFERENCE-HiLo-1.0/Zm-PDJ-REFERENCE-HiLo-1.0.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-PDJ-REFERENCE-HiLo-1.0/Zm-PDJ-REFERENCE-HiLo-1.0_Zm00112aa.1.protein.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-PDJ-REFERENCE-HiLo-1.0/Zm-PDJ-REFERENCE-HiLo-1.0_Zm00112aa.1.gff3.gz				17	
HiLo	Zm-PT-REFERENCE-HiLo-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00109aa.1	557000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/HiLo/Zm-PT-REFERENCE-HiLo-1.0/	Zm-PT-REFERENCE-HiLo-1.0.fa.gz	Zm-PT-REFERENCE-HiLo-1.0_Zm00109aa.1.protein.fa.gz	Zm-PT-REFERENCE-HiLo-1.0_Zm00109aa.1.gff3.gz				https://download.maizegdb.org/Genomes/HiLo/Zm-PT-REFERENCE-HiLo-1.0/Zm-PT-REFERENCE-HiLo-1.0.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-PT-REFERENCE-HiLo-1.0/Zm-PT-REFERENCE-HiLo-1.0_Zm00109aa.1.protein.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-PT-REFERENCE-HiLo-1.0/Zm-PT-REFERENCE-HiLo-1.0_Zm00109aa.1.gff3.gz				17	
HiLo	Zm-TAB-REFERENCE-HiLo-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00111aa.1	669000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/HiLo/Zm-TAB-REFERENCE-HiLo-1.0/	Zm-TAB-REFERENCE-HiLo-1.0.fa.gz	Zm-TAB-REFERENCE-HiLo-1.0_Zm00111aa.1.protein.fa.gz	Zm-TAB-REFERENCE-HiLo-1.0_Zm00111aa.1.gff3.gz				https://download.maizegdb.org/Genomes/HiLo/Zm-TAB-REFERENCE-HiLo-1.0/Zm-TAB-REFERENCE-HiLo-1.0.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-TAB-REFERENCE-HiLo-1.0/Zm-TAB-REFERENCE-HiLo-1.0_Zm00111aa.1.protein.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-TAB-REFERENCE-HiLo-1.0/Zm-TAB-REFERENCE-HiLo-1.0_Zm00111aa.1.gff3.gz				17	
HiLo	Zm-ZAP-REFERENCE-HiLo-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00110aa.1	643000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/HiLo/Zm-ZAP-REFERENCE-HiLo-1.0/	Zm-ZAP-REFERENCE-HiLo-1.0.fa.gz	Zm-ZAP-REFERENCE-HiLo-1.0_Zm00110aa.1.protein.fa.gz	Zm-ZAP-REFERENCE-HiLo-1.0_Zm00110aa.1.gff3.gz				https://download.maizegdb.org/Genomes/HiLo/Zm-ZAP-REFERENCE-HiLo-1.0/Zm-ZAP-REFERENCE-HiLo-1.0.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-ZAP-REFERENCE-HiLo-1.0/Zm-ZAP-REFERENCE-HiLo-1.0_Zm00110aa.1.protein.fa.gz	https://download.maizegdb.org/Genomes/HiLo/Zm-ZAP-REFERENCE-HiLo-1.0/Zm-ZAP-REFERENCE-HiLo-1.0_Zm00110aa.1.gff3.gz				17	
NAM_Founders	Zm-B73-REFERENCE-NAM-5.0	Zea mays subsp. mays	Zea	maize	2	single	True	5.0	Zm00001eb.1	616000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	True	False	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/	Zm-B73-REFERENCE-NAM-5.0.fa.gz	Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.protein.fa.gz	Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3	Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.interproscan.tsv.gz		Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1_entap_results.tsv.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0.fa.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.protein.fa.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.interproscan.tsv.gz		https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1_entap_results.tsv.gz	54	
NAM_Founders	Zm-B73_AB10-REFERENCE-NAM-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00043a.1	642000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	False	False	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73_AB10-REFERENCE-NAM-1.0/	Zm-B73_AB10-REFERENCE-NAM-1.0.fa.gz	Zm-B73_AB10-REFERENCE-NAM-1.0_Zm00043a.1.evd.protein.fa.gz	Zm-B73_AB10-REFERENCE-NAM-1.0_Zm00043a.1.gff3.gz				https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73_AB10-REFERENCE-NAM-1.0/Zm-B73_AB10-REFERENCE-NAM-1.0.fa.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73_AB10-REFERENCE-NAM-1.0/Zm-B73_AB10-REFERENCE-NAM-1.0_Zm00043a.1.evd.protein.fa.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B73_AB10-REFERENCE-NAM-1.0/Zm-B73_AB10-REFERENCE-NAM-1.0_Zm00043a.1.gff3.gz				15	B73 background carrying abnormal chr10 (Ab10); gene models flagged preliminary in README; near-duplicate of B73 v5
NAM_Founders	Zm-B97-REFERENCE-NAM-1.0	Zea mays subsp. mays	Zea	maize	2	single	True	1.0	Zm00018ab.1	628000000	COMPRESSED file size in bytes (from FTP listing) - NOT assembly base count. Do not use for runtime/array sizing; real base counts are logged per task by helixer_array.sh.	True	True	False	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/	Zm-B97-REFERENCE-NAM-1.0.fa.gz	Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.protein.fa.gz	Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.gff3.gz	Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.interproscan.tsv.gz		Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1_entap_results.tsv.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/Zm-B97-REFERENCE-NAM-1.0.fa.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.protein.fa.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.gff3.gz	https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.interproscan.tsv.gz		https://download.maizegdb.org/Genomes/NAM_Founders/Zm-B97-REFERENCE-NAM-1.0/Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1_entap_results.tsv.gz	45	
