assembly	IMMUNE_OTHER	IMMUNE_SIGNALING	NLR	NLR_partial	PR	RLK	RLP
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0	14	119	589	40	428	807	676
Td-FL_9056069_6-REFERENCE-PanAnd-2.0a	16	163	264	40	433	679	414
Td-FL_9056069_6-REFERENCE-PanAnd-2.0b	16	165	213	34	428	665	418
Td-KS_B6_1-REFERENCE-PanAnd-2.0a	16	165	256	34	452	676	434
Td-KS_B6_1-REFERENCE-PanAnd-2.0b	14	162	254	33	411	648	417
Zd-Gigi-REFERENCE-PanAnd-1.0	26	216	227	27	545	717	610
Zd-Momo-REFERENCE-PanAnd-1.0	18	172	169	25	423	602	485
Zh-RIMHU001-REFERENCE-PanAnd-1.0	28	158	127	21	400	509	437
Zm-B73-REFERENCE-NAM-5.0	19	143	122	15	367	476	416
Zm-B73_AB10-REFERENCE-NAM-1.0	15	141	108	16	332	460	376
Zm-B97-REFERENCE-NAM-1.0	25	148	133	25	388	463	414
Zm-CML103-REFERENCE-NAM-1.0	24	151	121	33	400	466	425
Zm-CML228-REFERENCE-NAM-1.0	25	155	116	34	410	469	457
Zm-CML247-REFERENCE-NAM-1.0	21	149	112	16	388	472	408
Zm-CML277-REFERENCE-NAM-1.0	28	152	117	22	382	451	454
Zm-CML322-REFERENCE-NAM-1.0	21	153	120	15	376	472	422
Zm-CML333-REFERENCE-NAM-1.0	24	150	128	21	372	472	429
Zm-CML457-REFERENCE-HiLo-1.0	20	145	79	32	369	437	418
Zm-CML459-REFERENCE-HiLo-1.0	20	152	112	17	394	482	408
Zm-CML52-REFERENCE-NAM-1.0	24	157	123	22	402	469	463
Zm-CML530-REFERENCE-HiLo-1.0	16	150	122	17	402	490	412
Zm-CML69-REFERENCE-NAM-1.0	23	152	123	16	385	471	431
Zm-HP301-REFERENCE-NAM-1.0	28	151	112	13	370	450	419
Zm-Il14H-REFERENCE-NAM-1.0	21	154	121	18	377	449	434
Zm-Ki11-REFERENCE-NAM-1.0	26	152	116	23	377	450	442
Zm-Ki3-REFERENCE-NAM-1.0	22	151	120	19	372	475	415
Zm-Ky21-REFERENCE-NAM-1.0	27	147	118	17	371	466	429
Zm-M162W-REFERENCE-NAM-1.0	20	156	111	17	384	461	432
Zm-M37W-REFERENCE-NAM-1.0	23	149	127	27	392	470	445
Zm-Mo18W-REFERENCE-NAM-1.0	24	152	114	22	387	471	406
Zm-Ms71-REFERENCE-NAM-1.0	19	152	117	16	391	467	424
Zm-NC350-REFERENCE-NAM-1.0	23	153	125	22	382	469	415
Zm-NC358-REFERENCE-NAM-1.0	27	156	122	23	381	462	426
Zm-Oh43-REFERENCE-NAM-1.0	20	150	124	20	374	450	452
Zm-Oh7B-REFERENCE-NAM-1.0	16	149	117	19	375	473	434
Zm-P39-REFERENCE-NAM-1.0	21	151	115	21	370	454	439
Zm-PDJ-REFERENCE-HiLo-1.0	27	154	144	25	393	496	465
Zm-PT-REFERENCE-HiLo-1.0	20	153	117	20	367	478	405
Zm-TAB-REFERENCE-HiLo-1.0	17	158	136	26	376	503	461
Zm-Tx303-REFERENCE-NAM-1.0	29	146	109	19	376	466	393
Zm-Tzi8-REFERENCE-NAM-1.0	23	156	128	17	410	482	422
Zm-ZAP-REFERENCE-HiLo-1.0	26	155	108	36	395	475	445
Zn-PI615697-REFERENCE-PanAnd-1.0	30	175	179	20	431	594	516
Zv-TIL01-REFERENCE-PanAnd-1.0	28	152	142	23	393	500	432
Zv-TIL11-REFERENCE-PanAnd-1.0	27	153	140	23	392	509	434
Zx-TIL18-REFERENCE-PanAnd-1.0	27	159	131	14	376	490	409
Zx-TIL25-REFERENCE-PanAnd-1.0	23	155	137	17	380	491	435
