assembly	CC_only	CNL	CRK-DUF26	CrRLK1L	CrRLP1L	EGF/WAK-like	G-lectin-RLK	G-lectin-RLP	L-lectin-RLK	L-lectin-RLP	LRR-RLK	LRR-RLP	LysM-RLK	LysM-RLP	MLO	NL	NPR-like	N_only	PR-1	PR-10_BetV1	PR-12_defensin	PR-16_germin	PR-2_glucanase	PR-3_4_chitinase	PR-4_barwin	PR-5_thaumatin	PR-9_peroxidase	RBOH	RNL	RPW8_only	TIR_only	TNL	WAK	WRKY_TF
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0	100	519	109	29	15	41	141	32	93	10	355	856	6	22	14	150	7	87	18	14	10	73	69	23	14	62	196	10	1	0	2	2	151	108
Td-FL_9056069_6-REFERENCE-PanAnd-2.0a	40	203	91	33	8	22	86	15	60	8	306	445	11	16	19	64	11	32	16	8	9	61	69	24	5	66	199	13	2	0	4	1	105	145
Td-FL_9056069_6-REFERENCE-PanAnd-2.0b	50	145	91	30	8	21	83	15	54	7	303	434	10	17	19	58	10	39	18	8	11	61	69	23	5	53	201	13	2	0	4	1	104	150
Td-KS_B6_1-REFERENCE-PanAnd-2.0a	50	195	96	33	8	17	78	14	56	6	312	476	11	16	21	63	12	45	17	15	11	63	72	26	5	58	208	13	2	0	4	1	104	145
Td-KS_B6_1-REFERENCE-PanAnd-2.0b	39	182	84	31	10	19	87	16	61	6	300	427	11	16	18	59	9	34	18	8	14	49	66	26	5	55	193	13	1	1	4	1	95	142
Zd-Gigi-REFERENCE-PanAnd-1.0	33	165	72	33	11	20	100	21	66	8	371	505	13	20	28	51	12	28	20	9	16	83	83	33	5	65	247	16	2	1	5	1	96	186
Zd-Momo-REFERENCE-PanAnd-1.0	28	119	56	26	10	16	87	14	59	4	305	396	9	21	17	45	9	25	17	10	12	56	71	27	5	45	206	17	3	1	4	1	87	148
Zh-RIMHU001-REFERENCE-PanAnd-1.0	21	96	53	20	12	15	75	14	47	4	268	353	11	18	29	21	9	9	17	12	11	40	62	21	5	43	197	12	2	1	3	1	66	142
Zl-RIL003-REFERENCE-PanAnd-1.0	20	93	59	21	12	15	67	11	45	9	273	351	9	17	28	33	9	9	17	8	11	52	61	20	5	42	165	12	2	0	3	2	74	138
Zm-B73-REFERENCE-NAM-5.0	18	89	50	22	10	12	74	15	44	7	257	355	9	20	26	19	9	20	17	8	12	43	61	18	5	46	172	14	2	0	3	1	75	133
Zm-B73_AB10-REFERENCE-NAM-1.0	19	94	51	22	9	14	75	16	44	6	258	364	10	19	27	20	9	19	17	8	11	42	61	18	5	47	179	14	2	0	3	1	73	138
Zm-B97-REFERENCE-NAM-1.0	20	92	51	21	11	15	69	15	46	6	258	320	8	21	31	24	9	12	17	7	10	42	60	21	4	47	183	13	2	0	3	1	63	135
Zm-CML103-REFERENCE-NAM-1.0	25	97	49	24	9	11	65	18	45	5	256	341	10	16	33	16	9	12	17	8	11	47	59	21	5	52	175	14	2	1	3	1	65	137
Zm-CML228-REFERENCE-NAM-1.0	23	89	51	20	10	14	67	18	46	9	275	354	9	19	33	19	9	18	16	8	12	45	60	19	5	51	192	16	2	0	3	1	67	137
Zm-CML247-REFERENCE-NAM-1.0	21	81	51	20	10	13	68	16	45	5	267	349	9	18	38	18	9	13	17	8	11	49	59	20	5	50	186	12	2	1	3	1	74	138
Zm-CML277-REFERENCE-NAM-1.0	22	90	52	22	9	11	63	16	45	6	256	334	10	18	34	19	9	15	17	7	11	47	59	18	5	49	174	14	2	1	3	1	67	136
Zm-CML322-REFERENCE-NAM-1.0	12	89	51	23	11	16	62	21	47	7	254	329	10	17	25	14	9	20	17	7	9	40	60	19	5	46	172	14	2	1	3	1	71	137
Zm-CML333-REFERENCE-NAM-1.0	21	95	52	21	11	12	67	17	47	6	262	340	9	17	35	17	9	23	17	8	10	37	59	21	5	44	174	13	2	1	3	1	67	134
Zm-CML457-REFERENCE-HiLo-1.0	17	83	53	23	11	14	67	18	46	6	255	341	10	16	29	18	9	13	17	8	11	36	59	20	5	45	167	13	2	1	3	1	63	136
Zm-CML459-REFERENCE-HiLo-1.0	22	91	49	21	9	15	68	21	49	3	264	343	10	17	26	17	9	19	16	8	11	47	59	24	5	47	183	14	2	1	3	1	69	131
Zm-CML52-REFERENCE-NAM-1.0	17	95	50	22	10	16	67	12	51	8	273	359	9	21	31	19	10	18	20	8	11	41	62	20	5	47	187	13	2	1	3	1	73	142
Zm-CML530-REFERENCE-HiLo-1.0	19	100	52	21	10	13	67	11	46	4	264	348	9	19	27	22	9	20	17	8	10	50	62	20	5	49	178	13	2	2	3	1	70	136
Zm-CML69-REFERENCE-NAM-1.0	16	94	49	21	8	15	68	12	46	6	266	342	10	16	24	18	9	21	17	8	12	40	59	18	5	40	178	12	2	1	3	1	73	135
Zm-HP301-REFERENCE-NAM-1.0	16	83	50	21	9	12	60	14	44	10	258	330	10	17	32	20	9	14	17	7	11	42	61	20	5	44	168	13	2	2	3	1	59	139
Zm-Il14H-REFERENCE-NAM-1.0	17	86	47	22	10	14	65	20	45	6	256	350	9	19	27	21	9	10	17	8	10	40	60	19	6	57	176	14	2	0	3	1	64	133
Zm-Ki11-REFERENCE-NAM-1.0	22	86	50	21	8	11	65	15	45	7	260	341	10	17	35	23	9	13	16	7	12	43	59	19	5	46	173	13	2	2	3	1	64	135
Zm-Ki3-REFERENCE-NAM-1.0	14	87	49	24	8	12	67	15	45	7	261	341	9	17	26	21	9	18	17	8	11	39	58	17	5	46	174	14	2	1	3	1	56	133
Zm-Ky21-REFERENCE-NAM-1.0	16	86	49	23	9	14	66	16	45	11	263	340	10	17	37	24	9	20	17	6	12	38	62	20	5	46	168	13	2	0	3	1	69	132
Zm-M162W-REFERENCE-NAM-1.0	13	98	52	20	10	14	68	18	45	7	254	363	10	17	31	14	9	15	16	8	11	48	60	21	5	46	172	13	2	0	3	1	67	135
Zm-M37W-REFERENCE-NAM-1.0	22	98	50	20	9	15	66	18	45	4	257	351	10	17	33	26	9	15	17	8	12	51	61	18	5	49	172	14	2	0	3	1	65	132
Zm-Mo18W-REFERENCE-NAM-1.0	19	82	52	21	10	12	65	12	45	9	268	353	10	17	33	17	9	18	17	8	10	42	60	19	5	49	174	12	2	1	3	1	67	133
Zm-Ms71-REFERENCE-NAM-1.0	15	87	53	22	10	13	64	15	47	4	259	344	10	19	30	22	9	12	17	6	13	38	59	20	5	50	184	13	2	0	3	1	64	138
Zm-NC350-REFERENCE-NAM-1.0	24	99	49	21	9	17	64	17	44	7	260	354	9	16	28	22	9	16	17	6	10	44	60	19	5	48	172	13	2	1	3	1	63	135
Zm-NC358-REFERENCE-NAM-1.0	24	96	49	21	8	11	63	20	43	8	270	344	9	18	33	20	9	14	16	8	11	40	59	17	5	43	186	13	2	0	3	1	62	136
Zm-Oh43-REFERENCE-NAM-1.0	14	90	48	20	12	13	65	16	43	10	258	348	9	18	33	26	9	16	18	7	10	37	61	19	5	51	173	13	2	0	3	1	65	138
