assembly	Aquaporin	Cell wall / glycoside hydrolase	Chaperone / heat shock	Chromatin / histone	Cytochrome P450	DNA repair / recombination	DNA replication	Glycosyltransferase / UGT	Helicase	Hormone: ABA / PP2C	Hormone: GA / DELLA	Hormone: JA / TIFY	Hormone: auxin	Immunity: LRR (receptor/adaptor)	Immunity: NLR (NBS-LRR)	Immunity: PR / defense protein	Immunity: peroxidase / ROS	Immunity: receptor kinase	PPR (organelle RNA editing)	Protein kinase (catalytic)	RNA binding / processing	TF: AP2/ERF	TF: C2H2 zinc finger	TF: GRAS	TF: MADS-box	TF: MYB	TF: NAC	TF: WRKY	TF: bHLH	TF: bZIP	TF: heat shock factor	TF: homeobox / HD-ZIP	Terpene synthase	Transporter: ABC	Transporter: MFS / sugar / nitrate	Ubiquitin / proteolysis
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0	51	711	354	367	433	93	153	415	243	80	77	21	60	1480	683	245	184	465	569	1734	592	197	217	108	74	431	218	114	195	101	27	50	63	172	273	2988
Td-FL_9056069_6-REFERENCE-PanAnd-2.0a	52	786	435	451	321	87	176	412	274	121	77	47	89	918	325	210	199	359	579	1754	770	266	276	104	84	764	209	155	272	152	38	83	70	135	266	2801
Td-FL_9056069_6-REFERENCE-PanAnd-2.0b	49	758	432	460	327	84	181	395	274	119	83	47	89	880	267	196	202	356	566	1760	765	262	274	105	87	750	198	158	268	153	38	81	68	134	272	2753
Td-KS_B6_1-REFERENCE-PanAnd-2.0a	52	796	432	456	317	87	194	416	275	122	82	41	84	934	314	217	211	366	572	1772	740	271	273	106	83	769	209	156	270	148	38	82	72	134	274	2828
Td-KS_B6_1-REFERENCE-PanAnd-2.0b	56	782	420	456	324	81	179	393	276	124	77	45	93	903	310	196	192	343	568	1734	752	268	270	102	81	740	202	156	268	155	39	79	70	137	271	2749
Zd-Gigi-REFERENCE-PanAnd-1.0	72	1143	660	694	475	114	306	577	442	178	117	52	112	1106	268	271	250	452	849	2400	1172	383	372	137	126	988	314	208	355	191	49	118	96	213	369	3751
Zd-Momo-REFERENCE-PanAnd-1.0	60	956	526	555	380	90	248	450	371	140	104	47	93	873	202	212	201	363	672	1906	993	301	327	108	85	820	262	164	300	149	39	95	78	175	313	3057
Zh-RIMHU001-REFERENCE-PanAnd-1.0	48	892	510	510	345	81	244	393	310	134	84	50	90	759	149	190	193	313	637	1746	931	263	275	91	93	733	233	149	268	150	34	87	61	170	268	2888
Zm-B73-REFERENCE-NAM-5.0	50	779	465	464	311	86	153	354	239	113	72	47	88	691	144	180	166	284	550	1609	780	246	245	90	84	571	193	138	241	133	33	82	50	158	249	2527
Zm-B73_AB10-REFERENCE-NAM-1.0	44	726	387	426	288	78	141	352	216	107	61	37	82	654	127	134	168	250	493	1436	678	215	231	77	56	546	168	133	210	130	32	79	46	133	243	2300
Zm-B97-REFERENCE-NAM-1.0	52	820	468	464	335	78	161	385	263	114	75	43	86	695	150	185	181	280	557	1650	781	260	247	88	79	579	186	141	244	134	32	81	46	150	268	2590
Zm-CML103-REFERENCE-NAM-1.0	48	824	464	452	347	80	156	378	260	118	72	39	96	699	148	208	169	278	559	1612	766	258	251	84	81	560	182	144	242	137	35	79	42	151	267	2561
