assembly	CC_only	CNL	CRK-DUF26	CrRLK1L	CrRLP1L	EGF/WAK-like	G-lectin-RLK	G-lectin-RLP	L-lectin-RLK	L-lectin-RLP	LRR-RLK	LRR-RLP	LysM-RLK	LysM-RLP	MLO	NL	NPR-like	N_only	PR-1	PR-10_BetV1	PR-12_defensin	PR-16_germin	PR-2_glucanase	PR-3_4_chitinase	PR-4_barwin	PR-5_thaumatin	PR-9_peroxidase	RBOH	RNL	RPW8_only	TIR_only	TNL	WAK	WRKY_TF
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0	38	424	86	31	10	25	146	11	85	2	343	582	6	23	14	113	7	49	17	14	12	73	59	18	5	59	171	9	1	0	2	2	133	103
Td-FL_9056069_6-REFERENCE-PanAnd-2.0a	36	179	79	31	7	19	93	7	64	2	326	340	9	17	16	53	11	29	16	11	14	60	64	20	5	58	185	13	2	0	4	1	99	139
Td-FL_9056069_6-REFERENCE-PanAnd-2.0b	30	143	82	29	9	20	89	6	57	2	324	341	9	17	16	39	10	28	19	10	14	57	63	20	5	50	190	13	2	0	4	1	98	142
Td-KS_B6_1-REFERENCE-PanAnd-2.0a	30	179	85	33	8	19	87	7	60	1	325	356	9	17	16	48	12	26	16	15	15	61	68	22	5	54	196	13	2	0	4	1	103	140
Td-KS_B6_1-REFERENCE-PanAnd-2.0b	28	174	76	29	9	18	96	5	61	3	316	340	9	17	14	46	9	32	20	11	17	49	61	21	5	49	178	13	1	1	4	1	86	140
Zd-Gigi-REFERENCE-PanAnd-1.0	22	150	67	34	13	19	100	15	65	2	375	506	10	26	26	46	12	28	21	8	17	82	84	29	6	63	235	17	2	0	5	1	95	187
Zd-Momo-REFERENCE-PanAnd-1.0	21	99	54	27	10	20	87	9	58	3	301	398	9	21	18	41	9	25	17	10	13	54	68	24	5	46	186	17	3	0	4	1	90	146
Zh-RIMHU001-REFERENCE-PanAnd-1.0	18	92	49	23	9	14	75	11	46	2	269	353	9	19	28	20	9	12	17	12	12	39	62	19	5	47	187	14	2	0	3	1	67	135
Zm-B73-REFERENCE-NAM-5.0	12	82	47	21	9	17	68	13	42	5	248	334	8	20	19	16	8	21	17	8	7	45	57	19	5	50	159	11	2	0	3	1	60	124
Zm-B73_AB10-REFERENCE-NAM-1.0	15	75	47	19	6	15	58	14	43	4	238	305	8	16	15	16	9	14	15	8	4	39	59	15	4	32	156	11	2	0	1	1	63	121
Zm-B97-REFERENCE-NAM-1.0	22	85	44	21	10	18	60	21	47	5	250	320	7	19	25	21	9	24	17	6	9	42	61	18	4	55	176	12	2	0	3	1	55	127
Zm-CML103-REFERENCE-NAM-1.0	30	76	49	24	10	17	58	17	43	4	249	340	9	17	24	17	8	25	17	7	12	46	62	19	5	65	167	12	2	0	3	1	54	131
Zm-CML228-REFERENCE-NAM-1.0	31	75	48	20	12	17	63	15	46	8	258	361	9	17	25	18	9	20	16	7	9	43	63	18	5	66	183	13	2	0	3	1	52	133
Zm-CML247-REFERENCE-NAM-1.0	13	77	45	18	12	18	63	16	44	6	255	317	8	16	21	14	9	18	17	8	7	45	61	16	5	62	167	11	2	0	3	1	62	129
Zm-CML277-REFERENCE-NAM-1.0	19	75	48	20	11	16	58	16	45	5	241	360	9	17	28	22	9	17	17	5	11	42	62	18	5	57	165	13	2	0	3	1	59	130
Zm-CML322-REFERENCE-NAM-1.0	12	77	50	22	13	17	56	21	48	5	245	326	9	17	21	14	9	26	17	6	10	34	60	17	5	61	166	13	2	0	3	1	65	131
Zm-CML333-REFERENCE-NAM-1.0	18	77	49	21	10	16	63	14	47	3	250	347	9	17	24	26	9	22	17	6	9	37	61	20	5	52	165	12	2	0	3	1	55	129
Zm-CML457-REFERENCE-HiLo-1.0	29	54	50	19	9	12	60	23	46	5	225	318	8	19	20	11	8	11	17	8	9	36	59	20	4	54	162	11	2	0	3	1	61	126
Zm-CML459-REFERENCE-HiLo-1.0	14	79	46	20	9	15	64	20	49	2	251	324	10	16	20	15	9	15	15	9	11	48	61	21	4	51	174	14	2	0	3	1	64	129
Zm-CML52-REFERENCE-NAM-1.0	19	80	50	20	11	19	59	17	48	6	254	364	8	19	24	21	10	19	20	7	8	37	65	19	5	68	173	12	2	0	3	1	57	135
Zm-CML530-REFERENCE-HiLo-1.0	14	83	50	21	7	15	64	12	44	2	256	339	9	20	16	19	9	17	16	8	11	50	63	22	4	60	168	13	2	0	3	1	63	128
Zm-CML69-REFERENCE-NAM-1.0	13	79	50	22	9	21	62	13	45	6	246	345	8	17	23	16	9	25	17	5	10	37	63	15	5	62	171	11	2	0	3	1	58	132
Zm-HP301-REFERENCE-NAM-1.0	10	76	48	21	8	14	60	16	44	3	244	338	9	15	28	18	9	15	17	6	8	38	63	20	5	53	160	11	2	0	3	1	49	131
Zm-Il14H-REFERENCE-NAM-1.0	15	78	44	21	11	15	58	16	44	4	247	341	8	20	21	20	9	20	17	8	9	40	60	16	6	58	163	13	2	0	3	1	54	132
Zm-Ki11-REFERENCE-NAM-1.0	20	75	47	20	11	17	58	20	45	6	243	347	10	16	26	24	9	14	16	8	9	42	62	17	5	57	161	13	2	0	3	1	52	130
Zm-Ki3-REFERENCE-NAM-1.0	16	78	49	24	8	13	66	13	42	5	254	337	10	16	22	17	9	22	17	7	6	36	60	15	5	59	167	14	2	0	3	1	53	128
Zm-Ky21-REFERENCE-NAM-1.0	14	76	46	23	9	17	58	23	43	4	246	339	8	19	27	24	9	15	17	6	8	36	61	19	5	55	164	11	2	0	3	1	60	127
Zm-M162W-REFERENCE-NAM-1.0	14	84	48	20	7	19	60	17	42	7	247	345	9	16	20	12	9	12	16	8	8	50	61	19	5	52	165	12	2	0	3	1	56	135
Zm-M37W-REFERENCE-NAM-1.0	24	83	48	21	10	17	56	20	47	2	249	362	8	16	23	21	9	20	17	5	10	48	62	20	5	61	164	13	2	0	3	1	59	127
Zm-Mo18W-REFERENCE-NAM-1.0	19	74	48	19	10	15	62	14	44	7	252	323	8	17	24	20	9	17	17	8	9	42	60	19	5	59	168	12	2	0	3	1	58	131
Zm-Ms71-REFERENCE-NAM-1.0	13	75	49	22	8	19	61	15	43	3	254	338	9	18	19	23	9	16	17	8	10	37	61	20	5	60	173	11	2	0	3	1	52	132
Zm-NC350-REFERENCE-NAM-1.0	19	83	48	22	10	19	61	12	45	3	248	339	8	15	23	21	9	18	17	6	9	37	63	18	5	56	171	13	2	0	3	1	54	131
Zm-NC358-REFERENCE-NAM-1.0	20	81	47	19	10	15	60	18	43	4	254	336	7	21	27	19	9	19	16	7	10	38	62	15	5	55	173	12	2	0	3	1	54	135
Zm-Oh43-REFERENCE-NAM-1.0	17	76	44	21	10	18	61	15	45	7	243	355	8	17	20	28	9	17	18	6	8	38	59	18	4	67	156	12	2	0	3	1	58	129
Zm-Oh7B-REFERENCE-NAM-1.0	16	72	46	22	10	16	64	16	48	7	249	345	9	20	16	14	9	28	17	8	8	37	60	18	5	53	169	11	2	0	3	1	55	129
Zm-P39-REFERENCE-NAM-1.0	18	78	45	23	8	16	61	18	46	4	240	347	8	20	21	17	9	17	17	7	8	41	60	18	5	54	160	13	2	0	3	1	57	129
