assembly	Aquaporin	Cell wall / glycoside hydrolase	Chaperone / heat shock	Chromatin / histone	Cytochrome P450	DNA repair / recombination	DNA replication	Glycosyltransferase / UGT	Helicase	Hormone: ABA / PP2C	Hormone: GA / DELLA	Hormone: JA / TIFY	Hormone: auxin	Immunity: LRR (receptor/adaptor)	Immunity: NLR (NBS-LRR)	Immunity: PR / defense protein	Immunity: peroxidase / ROS	Immunity: receptor kinase	PPR (organelle RNA editing)	Protein kinase (catalytic)	RNA binding / processing	TF: AP2/ERF	TF: C2H2 zinc finger	TF: GRAS	TF: MADS-box	TF: MYB	TF: NAC	TF: WRKY	TF: bHLH	TF: bZIP	TF: heat shock factor	TF: homeobox / HD-ZIP	Terpene synthase	Transporter: ABC	Transporter: MFS / sugar / nitrate	Ubiquitin / proteolysis
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0	55	816	406	419	498	111	261	430	251	77	80	23	68	1825	866	251	192	520	606	2011	625	199	268	110	81	451	238	121	291	103	26	52	78	202	296	3685
Td-FL_9056069_6-REFERENCE-PanAnd-2.0a	55	905	538	498	356	107	258	442	466	119	84	54	109	1019	369	209	210	389	592	2009	877	269	275	98	99	708	276	160	285	152	36	83	68	166	283	3003
Td-FL_9056069_6-REFERENCE-PanAnd-2.0b	53	858	525	499	367	103	249	422	448	120	87	55	106	959	300	196	212	376	586	2012	898	265	284	93	103	698	259	165	284	152	37	82	62	170	292	2966
Td-KS_B6_1-REFERENCE-PanAnd-2.0a	54	912	524	491	356	110	265	440	467	126	88	45	113	1046	370	217	222	384	588	2027	832	277	278	92	102	718	284	164	289	150	37	83	66	171	293	3072
Td-KS_B6_1-REFERENCE-PanAnd-2.0b	57	882	530	511	359	98	245	419	440	124	82	51	106	969	334	194	204	367	580	2001	853	266	276	92	97	700	261	158	279	152	37	80	68	174	283	2994
Zd-Gigi-REFERENCE-PanAnd-1.0	68	1211	722	715	485	138	363	581	796	178	114	53	126	1111	270	264	257	447	865	2498	2599	357	372	135	125	818	310	207	361	190	51	122	139	220	390	3738
Zd-Momo-REFERENCE-PanAnd-1.0	55	1006	561	584	398	108	286	455	627	138	99	49	108	888	218	209	207	356	670	2009	1567	282	321	97	93	675	233	170	308	149	39	98	116	205	341	3053
Zh-RIMHU001-REFERENCE-PanAnd-1.0	48	933	548	514	356	98	284	404	567	130	83	39	92	756	143	177	203	308	619	1778	1409	249	271	86	92	608	231	155	271	143	34	83	65	200	287	2903
Zl-RIL003-REFERENCE-PanAnd-1.0	52	929	541	513	357	103	298	407	807	136	78	44	91	756	154	185	173	308	600	1829	922	255	279	84	102	582	191	151	249	147	34	90	52	188	279	2815
Zm-B73-REFERENCE-NAM-5.0	48	922	504	497	351	97	259	377	577	121	83	44	103	733	149	179	187	301	580	1776	886	253	254	81	93	600	204	146	256	145	32	82	56	170	274	2773
Zm-B73_AB10-REFERENCE-NAM-1.0	50	943	508	497	354	107	263	378	598	125	82	48	106	749	153	180	190	306	579	1793	874	256	256	85	91	589	206	152	254	145	32	82	59	167	280	2783
Zm-B97-REFERENCE-NAM-1.0	51	929	512	500	360	94	256	376	602	131	80	41	99	714	141	180	191	296	577	1782	890	257	260	83	88	596	191	148	258	143	34	85	53	170	287	2756
Zm-CML103-REFERENCE-NAM-1.0	46	943	491	492	365	100	261	380	597	128	76	46	99	726	148	186	188	287	586	1779	868	253	268	87	91	571	191	150	256	143	35	82	46	172	280	2757
Zm-CML228-REFERENCE-NAM-1.0	55	934	519	511	363	105	281	419	626	128	82	46	106	753	142	188	205	294	588	1852	919	258	270	83	101	606	200	150	265	142	35	91	62	179	293	2913
Zm-CML247-REFERENCE-NAM-1.0	44	933	500	495	345	102	254	396	603	128	80	43	108	734	127	195	187	303	572	1797	905	252	263	92	89	581	185	153	254	142	33	85	63	179	282	2770
Zm-CML277-REFERENCE-NAM-1.0	46	953	489	497	361	99	259	384	604	139	79	42	103	717	142	184	183	291	567	1804	904	250	266	79	88	590	198	149	256	142	35	82	58	186	282	2762
Zm-CML322-REFERENCE-NAM-1.0	51	936	497	498	360	94	262	370	600	134	78	42	100	705	144	177	189	296	581	1777	898	254	263	82	92	579	197	149	259	147	33	80	56	178	287	2752
Zm-CML333-REFERENCE-NAM-1.0	48	919	507	506	345	98	266	377	619	131	78	40	99	740	152	170	183	302	571	1796	894	252	258	84	88	582	204	144	258	142	33	83	54	182	294	2802
Zm-CML457-REFERENCE-HiLo-1.0	50	903	503	511	357	101	268	403	615	137	73	38	107	710	137	172	177	298	579	1797	895	250	259	84	84	594	201	149	257	144	34	82	54	175	284	2810
Zm-CML459-REFERENCE-HiLo-1.0	47	907	515	494	367	101	253	381	560	138	74	41	108	735	148	186	189	292	580	1801	845	251	255	84	91	586	182	143	253	142	35	88	61	178	285	2732
Zm-CML52-REFERENCE-NAM-1.0	51	962	537	518	375	86	252	407	641	133	76	47	108	756	158	187	195	303	589	1891	898	270	275	84	100	605	203	155	263	148	34	88	69	197	304	2889
