assembly	IMMUNE_OTHER	IMMUNE_SIGNALING	NLR	NLR_partial	PR	RLK	RLP
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0	14	125	759	102	479	812	1048
Td-FL_9056069_6-REFERENCE-PanAnd-2.0a	19	169	302	44	457	639	567
Td-FL_9056069_6-REFERENCE-PanAnd-2.0b	19	173	245	54	449	625	552
Td-KS_B6_1-REFERENCE-PanAnd-2.0a	21	170	306	54	475	641	586
Td-KS_B6_1-REFERENCE-PanAnd-2.0b	18	164	277	44	434	615	548
Zd-Gigi-REFERENCE-PanAnd-1.0	28	214	247	39	561	708	628
Zd-Momo-REFERENCE-PanAnd-1.0	17	174	193	33	449	597	493
Zh-RIMHU001-REFERENCE-PanAnd-1.0	29	163	129	25	408	511	445
Zl-RIL003-REFERENCE-PanAnd-1.0	28	159	139	23	381	515	448
Zm-B73-REFERENCE-NAM-5.0	26	156	131	21	382	502	448
Zm-B73_AB10-REFERENCE-NAM-1.0	27	161	136	22	388	507	454
Zm-B97-REFERENCE-NAM-1.0	31	157	131	23	391	494	410
Zm-CML103-REFERENCE-NAM-1.0	33	160	128	29	395	489	425
Zm-CML228-REFERENCE-NAM-1.0	33	162	129	26	408	504	455
Zm-CML247-REFERENCE-NAM-1.0	38	159	115	25	405	503	442
Zm-CML277-REFERENCE-NAM-1.0	34	159	127	26	387	482	427
Zm-CML322-REFERENCE-NAM-1.0	25	160	126	16	375	490	429
Zm-CML333-REFERENCE-NAM-1.0	35	156	138	25	375	487	441
Zm-CML457-REFERENCE-HiLo-1.0	29	158	117	21	368	486	437
Zm-CML459-REFERENCE-HiLo-1.0	26	154	130	26	400	499	439
Zm-CML52-REFERENCE-NAM-1.0	31	165	135	21	401	512	459
Zm-CML530-REFERENCE-HiLo-1.0	27	158	145	24	399	496	438
Zm-CML69-REFERENCE-NAM-1.0	24	156	136	20	377	510	422
Zm-HP301-REFERENCE-NAM-1.0	32	161	120	21	375	472	422
Zm-Il14H-REFERENCE-NAM-1.0	27	156	120	20	393	478	449
Zm-Ki11-REFERENCE-NAM-1.0	35	157	125	27	380	484	430
Zm-Ki3-REFERENCE-NAM-1.0	26	156	129	18	375	488	423
Zm-Ky21-REFERENCE-NAM-1.0	37	154	133	19	374	502	430
Zm-M162W-REFERENCE-NAM-1.0	31	157	130	16	387	485	460
Zm-M37W-REFERENCE-NAM-1.0	33	155	142	25	393	488	439
Zm-Mo18W-REFERENCE-NAM-1.0	33	154	120	23	384	500	441
Zm-Ms71-REFERENCE-NAM-1.0	30	160	124	18	392	490	434
Zm-NC350-REFERENCE-NAM-1.0	28	157	140	28	381	485	445
Zm-NC358-REFERENCE-NAM-1.0	33	158	133	27	385	490	436
Zm-Oh43-REFERENCE-NAM-1.0	33	160	135	17	381	482	443
Zm-Oh7B-REFERENCE-NAM-1.0	28	155	125	17	384	493	435
Zm-P39-REFERENCE-NAM-1.0	29	157	123	19	389	487	434
Zm-PDJ-REFERENCE-HiLo-1.0	33	158	137	26	382	501	423
Zm-PT-REFERENCE-HiLo-1.0	30	158	129	20	379	483	456
Zm-TAB-REFERENCE-HiLo-1.0	27	159	127	21	381	500	422
Zm-Tx303-REFERENCE-NAM-1.0	31	154	121	19	383	485	422
Zm-Tzi8-REFERENCE-NAM-1.0	25	162	133	23	400	501	438
Zm-ZAP-REFERENCE-HiLo-1.0	31	158	131	22	385	484	429
Zn-PI615697-REFERENCE-PanAnd-1.0	32	174	194	27	448	575	533
Zv-TIL01-REFERENCE-PanAnd-1.0	26	156	150	19	403	507	428
Zv-TIL11-REFERENCE-PanAnd-1.0	27	157	140	23	379	504	441
Zx-TIL18-REFERENCE-PanAnd-1.0	29	162	130	14	375	490	423
Zx-TIL25-REFERENCE-PanAnd-1.0	19	162	132	16	388	483	443
