set	file	n_seq	n_gene	n_aa_total	assembly
reference	Av-Kellogg1287_8-REFERENCE-PanAnd-1.0__Av-Kellogg1287_8-REFERENCE-PanAnd-1.0_Av00001ab.1.protein.fa.gz	68929	35083	29428385	Av-Kellogg1287_8-REFERENCE-PanAnd-1.0
reference	Td-FL_9056069_6-REFERENCE-PanAnd-2.0a__Td-FL_9056069_6-REFERENCE-PanAnd-2.0a_Td00001bc.1.protein.fa.gz	85298	42807	34836565	Td-FL_9056069_6-REFERENCE-PanAnd-2.0a
reference	Td-FL_9056069_6-REFERENCE-PanAnd-2.0b__Td-FL_9056069_6-REFERENCE-PanAnd-2.0b_Td00001bc.1.protein.fa.gz	85058	42561	34773880	Td-FL_9056069_6-REFERENCE-PanAnd-2.0b
reference	Td-KS_B6_1-REFERENCE-PanAnd-2.0a__Td-KS_B6_1-REFERENCE-PanAnd-2.0a_Td00002bc.1.protein.fa.gz	85203	42459	34895242	Td-KS_B6_1-REFERENCE-PanAnd-2.0a
reference	Td-KS_B6_1-REFERENCE-PanAnd-2.0b__Td-KS_B6_1-REFERENCE-PanAnd-2.0b_Td00002bc.1.protein.fa.gz	84040	41726	34443679	Td-KS_B6_1-REFERENCE-PanAnd-2.0b
reference	Zd-Gigi-REFERENCE-PanAnd-1.0__Zd-Gigi-REFERENCE-PanAnd-1.0_Zd00001ab.1.protein.fa.gz	121633	70394	45606788	Zd-Gigi-REFERENCE-PanAnd-1.0
reference	Zd-Momo-REFERENCE-PanAnd-1.0__Zd-Momo-REFERENCE-PanAnd-1.0_Zd00003ab.1.protein.fa.gz	104668	58214	39441171	Zd-Momo-REFERENCE-PanAnd-1.0
reference	Zh-RIMHU001-REFERENCE-PanAnd-1.0__Zh-RIMHU001-REFERENCE-PanAnd-1.0_Zh00001ab.1.protein.fa.gz	92133	55314	33150709	Zh-RIMHU001-REFERENCE-PanAnd-1.0
reference	Zm-B73-REFERENCE-NAM-5.0__Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.protein.fa.gz	72539	39756	29101575	Zm-B73-REFERENCE-NAM-5.0
reference	Zm-B73_AB10-REFERENCE-NAM-1.0__Zm-B73_AB10-REFERENCE-NAM-1.0_Zm00043a.1.evd.protein.fa.gz	75904	43747	29725565	Zm-B73_AB10-REFERENCE-NAM-1.0
reference	Zm-B97-REFERENCE-NAM-1.0__Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.protein.fa.gz	71813	40368	28345916	Zm-B97-REFERENCE-NAM-1.0
